Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
1,9.86,1.6,Michael NORMAN,3-Dec-97,USA,1f3,"AP Ranch, Fort Worth, TX (USA)",20-Jul-20,1255
2,9.9,1.4,Trayvon BROMELL,10-Jul-95,USA,1h3,"National Training Center, Clermont, FL (USA)",24-Jul-20,1241
3,9.91,1.7,Akani SIMBINE,21-Sep-93,RSA,1h3,"Bestmed Tuks Stadium, Pretoria (RSA)",14-Mar-20,1238
4,9.97,1.9,André DE GRASSE,10-Nov-94,CAN,1h2,"National Training Center, Clermont, FL (USA)",24-Jul-20,1217
5,10,1.1,Ronnie BAKER,15-Oct-93,USA,1f3,"AP Ranch, Fort Worth, TX (USA)",23-Jul-20,1206
6,10.03,0.3,Julian FORTE,7-Jan-93,JAM,1f5,"Jamaica College Ashenheim Stadium, Kingston (JAM)",18-Jul-20,1196
6,10.03,1.6,Rai BENJAMIN,27-Jul-97,USA,2f3,"AP Ranch, Fort Worth, TX (USA)",20-Jul-20,1196
6,10.03,1,Aska CAMBRIDGE,31-May-93,JPN,1,"Prefectural Stadium, Fukui (JPN)",29-Aug-20,1196
9,10.04,1.4,Noah LYLES,18-Jul-97,USA,2h3,"National Training Center, Clermont, FL (USA)",24-Jul-20,1193
9,10.04,1.4,Yoshihide KIRYU,15-Dec-95,JPN,1f3,"Hokuroku Park Athletic Field, Fujiyoshida (JPN)",1-Aug-20,1193
9,10.04,0.2,Andre EWERS,7-Jun-95,JAM,1f1,"Bolles HS Track, Jacksonville, FL (USA)",8-Aug-20,1193
9,10.04,1.8,Kyree KING,9-Jul-94,USA,1h1,"Montverde Academy, Montverde, FL (USA)",10-Aug-20,1193
9,10.04,0.3,Arthur CISSÉ,29-Dec-96,CIV,2,"Stadio Olimpico, Roma (ITA)",17-Sep-20,1193
14,10.06,0.8,Shaun Phatutshedzo MASWANGANYI,1-Feb-01,RSA,1sf1,"Bestmed Tuks Stadium, Pretoria (RSA)",14-Mar-20,1186
15,10.07,1.1,Justin GATLIN,10-Feb-82,USA,2f3,"AP Ranch, Fort Worth, TX (USA)",23-Jul-20,1182
15,10.07,-0.2,Filippo TORTU,15-Jun-98,ITA,2,"Stadio Comunale, Bellinzona (SUI)",15-Sep-20,1183
17,10.08,1.3,Henrico BRUINTJIES,16-Jul-93,RSA,2,"Bestmed Tuks Stadium, Pretoria (RSA)",14-Mar-20,1179
17,10.08,1.4,Deniz ALMAS,17-Jul-97,GER,1f1,"Sepp-Herberger-Stadion, Weinheim (GER)",1-Aug-20,1179
19,10.09,1.7,Cravon GILLESPIE,31-Jul-96,USA,1f2,"PVAMU Track Stadium, Prairie View, TX (USA)",6-Aug-20,1176
