Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
1,10.85,0.2,Elaine THOMPSON-HERAH,28-Jun-92,JAM,1,"Stadio Olimpico, Roma (ITA)",17-Sep-20,1233
2,10.86,0.9,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,1f1,"National Stadium, Kingston (JAM)",22-Aug-20,1231
3,10.95,1.1,Sha'Carri RICHARDSON,25-Mar-00,USA,1h1,"Montverde Academy, Montverde, FL (USA)",10-Aug-20,1211
4,10.98,1.4,Shaunae MILLER-UIBO,15-Apr-94,BAH,1f1,"National Training Center, Clermont, FL (USA)",24-Jul-20,1204
5,11.08,0.7,Ajla DEL PONTE,15-Jul-96,SUI,1f1,"Stade Bouleyres, Bulle (SUI)",11-Jul-20,1182
6,11.11,1.3,Rebekka HAASE,2-Jan-93,GER,1f1,"Sportanlage am Weinweg, Regensburg (GER)",26-Jul-20,1176
7,11.12,0.2,Aleia HOBBS,24-Feb-96,USA,2,"Stadio Olimpico, Roma (ITA)",17-Sep-20,1174
8,11.14,0.5,Hannah CUNLIFFE,9-Jan-96,USA,2f1,"Montverde Academy, Montverde, FL (USA)",4-Jul-20,1169
8,11.14,0.2,Marie-Josée TA LOU,18-Nov-88,CIV,3,"Stadio Olimpico, Roma (ITA)",17-Sep-20,1169
10,11.15,1.4,Tamari DAVIS,15-Feb-03,USA,2f1,"National Training Center, Clermont, FL (USA)",24-Jul-20,1167
10,11.15,1.9,Natalliah WHYTE,9-Aug-97,JAM,2h2,"National Training Center, Clermont, FL (USA)",24-Jul-20,1167
12,11.16,0.1,Imani LANSIQUOT,17-Dec-97,GBR,1,"Stadion Manfort, Leverkusen (GER)",16-Aug-20,1165
12,11.16,1,Gabriela Anahi SUAREZ,2-Feb-01,ECU,1,Quito (ECU),12-Dec-20,1165
14,11.18,1.5,Kayla WHITE,24-Sep-96,USA,1,"Drake Stadium, Des Moines, IA (USA)",29-Aug-20,1161
15,11.19,1.3,Lisa Marie KWAYIE,27-Oct-96,GER,2f1,"Sportanlage am Weinweg, Regensburg (GER)",26-Jul-20,1159
16,11.2,1.4,Shashalee FORBES,10-May-96,JAM,2sr2,"National Stadium, Kingston (JAM)",8-Aug-20,1157
16,11.2,0.6,Rhodah NJOBVU,29-Jan-94,ZAM,1,"National Heroes Stadium, Lusaka (ZAM)",6-Dec-20,1157
18,11.21,1.8,Mujinga KAMBUNDJI,17-Jun-92,SUI,1f1,"Stadion Hard, Langenthal (SUI)",5-Aug-20,1154
18,11.21,2,Tatjana PINTO,2-Jul-92,GER,1h5,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",15-Aug-20,1154
20,11.22,0.9,Jasmine CAMACHO-QUINN,21-Aug-96,PUR,1h3,"National Training Center, Clermont, FL (USA)",24-Jul-20,1152
21,11.23,1.4,Jennifer MONTAG,11-Feb-98,GER,2f1,"Stadion, Wetzlar (GER)",18-Jul-20,1150
21,11.23,1.1,Bassant HEMIDA,28-Sep-96,EGY,1,"Mestský Stadion Sletište, Kladno (CZE)",16-Sep-20,1150
23,11.24,1.3,Ewa SWOBODA,26-Jul-97,POL,2,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",19-Aug-20,1148
24,11.25,0.3,Natasha MORRISON,17-Nov-92,JAM,2sr3,"National Stadium, Kingston (JAM)",8-Aug-20,1146
24,11.25,1.1,Kourtni JOHNSON,,USA,2h1,"Montverde Academy, Montverde, FL (USA)",10-Aug-20,1146
24,11.25,1.2,Nadine VISSER,9-Feb-95,NED,1,"Atletiekbaan Maarschalkerweerd, Utrecht (NED)",29-Aug-20,1146
27,11.26,0.1,Dafne SCHIPPERS,15-Jun-92,NED,1,"Olympiastadion, Berlin (GER)",13-Sep-20,1144
28,11.27,1.4,Lynna IRBY,6-Dec-98,USA,4f1,"National Training Center, Clermont, FL (USA)",24-Jul-20,1142
28,11.27,1.5,Kristina Marie KNOTT,25-Sep-95,PHI,2,"Drake Stadium, Des Moines, IA (USA)",29-Aug-20,1142
