site,date,species,band_number,colors,sex,tail,tarsus,wing,total_culmen,nares_to_tip,width,depth,gape,mass_bird_bag,mass_bag,mass
MOA,10/31/2014,rble,271112702,ysro,u,61,24.7,70,NA,8.1,4.2,4.4,6.8,41,25,16
MOA,10/31/2014,rble,271112703,ysyg,u,56,23.5,66,NA,8.4,4,4.7,8.7,40.5,18.5,22
MOA,11/1/2014,rwbu,265130702,wsrd,u,81,20.6,80,NA,9.9,4.8,5.1,10.8,53,25,28
MOA,11/1/2014,rwbu,265130703,wsyg,u,79,20.4,80,NA,9.4,5.1,4.9,10.6,49,24,25
MOA,11/1/2014,rwbu,265130704,wsoo,u,77,17.5,76,NA,10.7,5.5,4.3,11.1,48,27.5,20.5
MOA,11/1/2014,rwbu,265130705,wsyd,m,77,18.5,80,NA,NA,5.5,5.1,11.7,55,26,29
MOA,11/1/2014,rwbu,265130706,wsgw,m,81,17.8,79,NA,10.2,4.6,5.4,10.4,50,25,25
MOA,11/1/2014,rble,271112705,yswg,u,54,21.5,61,NA,8.2,3.6,4.2,9.2,44.5,25,19.5
EKA,11/4/2014,wrsh,265130707,osgd,m,137,26.3,95,NA,13.2,5,5,12.3,55,26,29
EKA,11/4/2014,rble,271112706,ysyo,u,53,23.9,67,NA,8.4,4.6,4.9,8.9,51,28,23
EKA,11/4/2014,rble,271112707,ysyr,u,61,23.5,68,NA,9.9,4.5,5.1,11.5,49,26,23
EKA,11/4/2014,rble,271112708,ysgy,m,58.5,24.1,68.5,NA,8,5,5,12.1,46.5,25.5,21
EKA,11/4/2014,jawe,275000601,wsod,m,41,18.8,60,NA,7.4,4.4,3.7,7.6,36,26,10
EKA,11/4/2014,jawe,275000602,wsdd,m,40,17.8,50.8,NA,8.6,3.4,3.5,6.7,36,25,11
EKA,11/4/2014,jawe,275000603,wsrr,m,41,18.1,60,NA,8.2,4.7,3.9,5.6,38,27,11
EKA,11/5/2014,rble,271112709,yswd,u,54,24.1,66,NA,7,4.6,5,9,47,25.5,21.5
EKA,11/5/2014,rble,271112710,ysod,u,50,26,70,NA,8.2,4.4,5.4,8.3,46,25,21
EKA,11/5/2014,rble,271112711,ysoo,u,56,24.4,70,NA,7.9,4.5,5,8.5,53,30,23
EKA,11/5/2014,rble,271112712,ysww,u,55,24,70,NA,7.5,4.3,5.3,9.4,52,27,25
EKA,11/5/2014,rble,271112713,ysow,u,59,23.2,66,NA,9.4,4.6,5,10.4,49,26,23
EKA,11/5/2014,jawe,275000604,wsyo,u,43,17.8,59,NA,7.5,4,3.3,8.2,31,19.5,11.5
EKA,11/5/2014,jawe,275000605,wsrd,u,43,17.1,59,NA,7.9,3.4,3.6,5.3,42,31,11
EKA,11/5/2014,jawe,275000606,wswg,u,41,17.6,58,NA,8.1,3.6,3.2,5.5,40,29,11
EKA,11/5/2014,jawe,275000607,wsyd,u,41,17.8,59,NA,8.6,3.3,3.1,5.9,41,32,9
EKA,11/5/2014,jawe,275000608,wsyg,u,46,17.3,60,NA,7.6,3.9,3.2,7.3,44,34,10
EKA,11/5/2014,jawe,275000609,wswd,m,35,17,56,NA,7.9,3.5,3.3,5.2,34,25,9
EKA,11/5/2014,jawe,275000610,wsry,u,39,18.1,58,NA,9.1,3.6,3.2,6,38,25,13
EKA,11/5/2014,jawe,275000611,wsoo,m,43,18.1,59,NA,9.2,3.8,3.6,5.7,33,25,8
EKA,11/5/2014,jawe,275000613,wsdo,m,42,17.8,59,NA,9.4,3.5,3.5,5.4,35,24,11
EKA,11/5/2014,jawe,275000615,wsgy,m,42,18.1,60,NA,9,3.8,3.7,6.1,18,8,10
EKA,11/5/2014,jawe,275000616,wsro,m,44,17.5,58,NA,8.1,4.4,3.6,8,37,25,12
EKA,11/5/2014,rble,NA,NA,u,NA,NA,NA,NA,NA,NA,NA,NA,49,27,22
PAH,11/6/2014,rble,271112714,ysdy,u,51,23.3,70,NA,7.5,6,5.5,8.5,46,24.5,21.5
PAH,11/6/2014,rble,271112715,ysry,u,57,23,67,NA,8.9,4.7,4.7,7.5,45,25,20
PAH,11/7/2014,rble,271112717,ysdd,u,56,23.8,69,NA,NA,5.3,5.4,10.6,48,26.5,21.5
PAH,11/7/2014,rble,271112718,ysdo,u,55,26.6,69,NA,8.1,5.2,4.7,8.1,43,25.5,17.5
PAH,11/7/2014,jawe,275000618,wsog,u,51,17.2,61,NA,7.8,5,3.5,6.1,35,25,10
PAH,11/7/2014,rble,NA,NA,u,NA,NA,NA,NA,NA,NA,NA,NA,48.5,26,22.5
MOA,11/11/2014,rvbu,265130708,rsyd,u,83,23.9,91,NA,10.7,6.3,5.1,11.8,48,21,27
MOA,11/11/2014,rvbu,265130709,rsgy,u,81,25.8,91,NA,10.5,6.2,6,11.5,50,17,33
MOA,11/11/2014,wrsh,265130794,osgg,m,139,25.7,88,NA,10.8,5.8,5.5,10.5,48,20.5,27.5
MOA,11/11/2014,rble,271112719,ysdg,u,54,21,64,NA,8.3,5.1,NA,8.2,45,28,17
MOA,11/11/2014,rble,271112720,yswo,u,55,24.3,65,NA,9.9,4.8,4.4,10.9,50,28,22
MOA,11/11/2014,rble,271112721,ysrw,u,57,25.3,69,NA,7.3,5.4,4.8,8,28,8,20
MOA,11/11/2014,rble,271112722,ysgr,u,56,20.5,70,NA,9.8,3.5,4.5,8.4,43,23.5,19.5
