"species","full_name","sex","tail","tarsus","wing","nares_to_tip","gape","mass"
"rble","red-billed leiothrix","u",61,24.7,70,8.1,6.8,16
"rble","red-billed leiothrix","u",56,23.5,66,8.4,8.7,22
"rwbu","red-whiskered bulbul","u",81,20.6,80,9.9,10.8,28
"rwbu","red-whiskered bulbul","u",79,20.4,80,9.4,10.6,25
"rwbu","red-whiskered bulbul","u",77,17.5,76,10.7,11.1,20.5
"rwbu","red-whiskered bulbul","m",77,18.5,80,NA,11.7,29
"rwbu","red-whiskered bulbul","m",81,17.8,79,10.2,10.4,25
"rble","red-billed leiothrix","u",54,21.5,61,8.2,9.2,19.5
"wrsh","white-rumped shama","m",137,26.3,95,13.2,12.3,29
"rble","red-billed leiothrix","u",53,23.9,67,8.4,8.9,23
"rble","red-billed leiothrix","u",61,23.5,68,9.9,11.5,23
"rble","red-billed leiothrix","m",58.5,24.1,68.5,8,12.1,21
"jawe","Japanese white-eye","m",41,18.8,60,7.4,7.6,10
"jawe","Japanese white-eye","m",40,17.8,50.8,8.6,6.7,11
"jawe","Japanese white-eye","m",41,18.1,60,8.2,5.6,11
"rble","red-billed leiothrix","u",54,24.1,66,7,9,21.5
"rble","red-billed leiothrix","u",50,26,70,8.2,8.3,21
"rble","red-billed leiothrix","u",56,24.4,70,7.9,8.5,23
"rble","red-billed leiothrix","u",55,24,70,7.5,9.4,25
"rble","red-billed leiothrix","u",59,23.2,66,9.4,10.4,23
"jawe","Japanese white-eye","u",43,17.8,59,7.5,8.2,11.5
"jawe","Japanese white-eye","u",43,17.1,59,7.9,5.3,11
"jawe","Japanese white-eye","u",41,17.6,58,8.1,5.5,11
"jawe","Japanese white-eye","u",41,17.8,59,8.6,5.9,9
"jawe","Japanese white-eye","u",46,17.3,60,7.6,7.3,10
"jawe","Japanese white-eye","m",35,17,56,7.9,5.2,9
"jawe","Japanese white-eye","u",39,18.1,58,9.1,6,13
"jawe","Japanese white-eye","m",43,18.1,59,9.2,5.7,8
"jawe","Japanese white-eye","m",42,17.8,59,9.4,5.4,11
"jawe","Japanese white-eye","m",42,18.1,60,9,6.1,10
"jawe","Japanese white-eye","m",44,17.5,58,8.1,8,12
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",51,23.3,70,7.5,8.5,21.5
"rble","red-billed leiothrix","u",57,23,67,8.9,7.5,20
"rble","red-billed leiothrix","u",56,23.8,69,NA,10.6,21.5
"rble","red-billed leiothrix","u",55,26.6,69,8.1,8.1,17.5
"jawe","Japanese white-eye","u",51,17.2,61,7.8,6.1,10
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22.5
"rvbu","red-vented bulbul","u",83,23.9,91,10.7,11.8,27
"rvbu","red-vented bulbul","u",81,25.8,91,10.5,11.5,33
"wrsh","white-rumped shama","m",139,25.7,88,10.8,10.5,27.5
"rble","red-billed leiothrix","u",54,21,64,8.3,8.2,17
"rble","red-billed leiothrix","u",55,24.3,65,9.9,10.9,22
"rble","red-billed leiothrix","u",57,25.3,69,7.3,8,20
"rble","red-billed leiothrix","u",56,20.5,70,9.8,8.4,19.5
"rble","red-billed leiothrix","u",54,23.5,65,7.4,7.9,17
"rble","red-billed leiothrix","u",53,24.6,66,8.1,NA,19.5
"rble","red-billed leiothrix","u",52,23.9,67,8.9,8.5,22.5
"rble","red-billed leiothrix","u",58,23.2,65,9.4,11.6,19
"rble","red-billed leiothrix","u",55,20.2,68,7.3,9.9,20
"rble","red-billed leiothrix","u",55,23.8,66,8.4,8.5,19
"rble","red-billed leiothrix","u",54,20.6,64,7.7,10.5,18
"rble","red-billed leiothrix","u",58,24.2,71,8.1,8.5,23
"rble","red-billed leiothrix","u",57,23.2,67,7.1,9.1,20
"rble","red-billed leiothrix","u",52,22.7,63,8.4,9.6,20
"rble","red-billed leiothrix","u",55,23.7,66,7.9,8.2,18
"rble","red-billed leiothrix","u",57,23.1,69,7.7,9,21
"rble","red-billed leiothrix","u",56,23.1,66,7.5,9.2,20
"rble","red-billed leiothrix","u",59,25.2,70,8.3,8.2,21
"rble","red-billed leiothrix","u",59,25.1,70,8.5,10.6,24
"rble","red-billed leiothrix","u",NA,NA,67,NA,NA,23
"rble","red-billed leiothrix","u",NA,23.3,67,8.2,8.8,20
"rble","red-billed leiothrix","u",52,24.1,58,7.6,8.2,17
"rble","red-billed leiothrix","u",51,21,62,7.1,10,18.5
"rble","red-billed leiothrix","u",56,23.2,67,7.5,8.4,20
"rble","red-billed leiothrix","u",58,23.1,68,7.8,9.4,21.5
"rwbu","red-whiskered bulbul","u",78,19.1,78,9.1,10.7,25
"rble","red-billed leiothrix","u",NA,22.5,66,8.4,9.9,20
"rble","red-billed leiothrix","u",57,25.4,64,NA,NA,21
"rble","red-billed leiothrix","u",56,24.6,59,7.5,10.4,17.5
"rble","red-billed leiothrix","u",58,NA,68,NA,NA,21
"rble","red-billed leiothrix","u",51,NA,65,NA,NA,NA
"rble","red-billed leiothrix","u",55,NA,64,NA,NA,21
"rble","red-billed leiothrix","u",50,NA,63,NA,NA,19
"rble","red-billed leiothrix","u",56,NA,67,NA,NA,20
"rble","red-billed leiothrix","u",55,NA,69,NA,NA,20
"rble","red-billed leiothrix","u",53,NA,65,NA,NA,18
"rble","red-billed leiothrix","u",56,NA,67,NA,NA,21
"rble","red-billed leiothrix","u",54,NA,67,NA,NA,21
"rble","red-billed leiothrix","u",61,NA,71,NA,NA,22.5
"rwbu","red-whiskered bulbul","u",75,21,79,9,10.6,25
"rble","red-billed leiothrix","u",52,NA,65,NA,NA,19
"rble","red-billed leiothrix","u",58,NA,67,NA,NA,23
"rble","red-billed leiothrix","u",56,NA,70,NA,NA,19.5
"rwbu","red-whiskered bulbul","u",75,19.1,79,10,10.8,21
"rble","red-billed leiothrix","u",55,NA,64,NA,NA,23
"rble","red-billed leiothrix","u",51,NA,65,NA,NA,21
"rble","red-billed leiothrix","u",54,NA,68,NA,NA,26
"rble","red-billed leiothrix","u",54,NA,65,NA,NA,16
"rwbu","red-whiskered bulbul","u",78,19.9,78,8.9,9.5,24
"rwbu","red-whiskered bulbul","u",82,20.7,85,9.3,10.3,27
"rble","red-billed leiothrix","u",58,NA,70,NA,NA,21
"rble","red-billed leiothrix","u",57,23,70,6.4,7,23
"rble","red-billed leiothrix","u",57,25.3,70,7.5,8.1,25
"jawe","Japanese white-eye","u",NA,18.7,60,8.8,6.1,10
"jawe","Japanese white-eye","u",41,17.5,59,8,7.6,10
"jawe","Japanese white-eye","u",40,16.7,58,8.3,NA,10
"jawe","Japanese white-eye","u",41,17.5,58,7.7,7.9,10.5
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,20.5
"rble","red-billed leiothrix","u",52,23.5,64,7.5,7.2,20
"rwbu","red-whiskered bulbul","u",82,20.3,81,9.7,10,26
"rble","red-billed leiothrix","u",54,25.7,71,7.9,9.2,21.5
"rwbu","red-whiskered bulbul","u",76,19.6,79,9.6,9.8,24
"rwbu","red-whiskered bulbul","u",72,18.3,76,8.3,10.4,24
"rble","red-billed leiothrix","u",57,24.5,70,8.2,9.4,24
"rwbu","red-whiskered bulbul","u",78,19.9,82,9.1,10.3,27
"rble","red-billed leiothrix","u",NA,23.9,68,8,8.9,22
"rble","red-billed leiothrix","u",57,24.1,71,8.1,7.9,22
"rble","red-billed leiothrix","u",55,24.1,71,7.6,8.2,23
"rble","red-billed leiothrix","u",52,22.2,63,7.5,9,18
"rble","red-billed leiothrix","u",56,23.4,65,7.3,9.6,21
"rble","red-billed leiothrix","u",58,24,71,7.5,8.9,23
"rble","red-billed leiothrix","u",54,22,66,8.3,6.5,20
"rble","red-billed leiothrix","u",60,23.8,70,7.7,7.4,21
"rble","red-billed leiothrix","u",52,23.7,66,7.3,7.5,22
"rble","red-billed leiothrix","u",58,22.4,68,6.9,8.5,21.5
"wrsh","white-rumped shama","u",106,26.4,87,11.1,12.5,25
"rble","red-billed leiothrix","u",57,23.6,70,7.8,8.4,22
"rble","red-billed leiothrix","u",53,24.4,65,6.9,9.4,20
"rble","red-billed leiothrix","u",53,24.2,65,7,8.8,22
"jawe","Japanese white-eye","u",44,16.7,60,7.8,7.8,11.5
"jawe","Japanese white-eye","u",41,17.3,60,8,7.6,8
"jawe","Japanese white-eye","u",41,18.5,60,NA,7.6,12
"jawe","Japanese white-eye","u",41,16.2,57,8,7.2,9.5
"wrsh","white-rumped shama","m",124,26.1,89,11.2,13.1,33
"rble","red-billed leiothrix","u",55,23.6,66,6.7,10.2,21
"jawe","Japanese white-eye","u",42,17.3,59,7.4,8.7,11
"wrsh","white-rumped shama","u",108,23.1,81,11.4,9.9,28
"wrsh","white-rumped shama","m",113,27.7,97,11.4,9.9,31
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"rble","red-billed leiothrix","u",53,23.4,66,7.9,11,17
"rble","red-billed leiothrix","u",56,24.6,70,7.6,9,22
"rble","red-billed leiothrix","u",55,23,67,7.8,9.8,20
"rble","red-billed leiothrix","u",52,24,66,7.8,9.5,22.5
"rble","red-billed leiothrix","u",58,24.5,67,8.1,9.5,21
"rble","red-billed leiothrix","u",50,24.9,68,7.4,9.8,19
"jawe","Japanese white-eye","u",41,18.2,59,7.6,6.5,11
"jawe","Japanese white-eye","u",41,16.8,60,8,6,10
"rble","red-billed leiothrix","u",NA,NA,NA,NA,NA,22
"wrsh","white-rumped shama","m",145,26.5,95,11.4,11.9,28
"rble","red-billed leiothrix","u",56,24.4,66,7.9,9.3,22
"rble","red-billed leiothrix","u",60,24.1,72,7.6,9.2,21
"rble","red-billed leiothrix","u",57,25.1,69,7.2,9.2,24
"rble","red-billed leiothrix","u",56,23.9,70,7.8,7.6,21
"rble","red-billed leiothrix","u",55,23,68,7.2,8,22
"rble","red-billed leiothrix","u",50,24.1,61,7.1,9.6,21
"rble","red-billed leiothrix","u",55,24.2,68,8.2,9.1,19.5
"rble","red-billed leiothrix","u",51,22.3,65,8.2,6.7,23
"rble","red-billed leiothrix","u",51,24.1,69,7.6,9.8,20.5
"rble","red-billed leiothrix","u",51,23.4,68,7.6,9.1,24.5
"rble","red-billed leiothrix","u",51,23.2,68,7.5,8.9,22
"rble","red-billed leiothrix","u",51,23,66,7.5,7,20
"rble","red-billed leiothrix","u",51,24.2,65,7.4,9.2,21.5
"rble","red-billed leiothrix","u",51,23.3,68,8,7,20.5
"rble","red-billed leiothrix","u",54,25,69.5,8.2,9.4,22
"rble","red-billed leiothrix","u",55,24.9,67,7.6,9.3,21
"rble","red-billed leiothrix","u",55,23.4,67,7.7,8.5,21
"rble","red-billed leiothrix","u",58,24.4,70,8.1,8.3,21
"wrsh","white-rumped shama","f",100,25.4,85,11,11.7,26
"jawe","Japanese white-eye","u",42,17.9,60,7.7,6,11
"rble","red-billed leiothrix","u",52,24.4,66,7.6,7.2,21
"rble","red-billed leiothrix","u",NA,25.2,68,8,9.3,21
"rble","red-billed leiothrix","u",55,23.4,69,8.7,8.5,20
"rble","red-billed leiothrix","u",56,25,71,7.6,NA,26
"rble","red-billed leiothrix","u",53,24.3,69,7.1,7.5,22
"rble","red-billed leiothrix","u",57,23,70,7.4,8.3,21
"rble","red-billed leiothrix","u",57,23.6,70,7.9,9.3,24
"rwbu","red-whiskered bulbul","u",80,19.7,80,8.9,10.3,27
"rble","red-billed leiothrix","u",52,23.3,68,7.6,7.2,22.5
