"species","size_cm"
"uhu","39"
"uhu","38.9"
"uhu","61"
"uhu","50.3"
"uhu","61"
"uhu","59.1"
"uhu","38.6"
"uhu","52.6"
"uhu","63.6"
"uhu","31"
"uhu","48"
"uhu","51"
"uhu","37.9"
"uhu","53.8"
"uhu","51.2"
"uhu","50"
"uhu","34.5"
"uhu","45.7"
"uhu","40.2"
"uhu","46.4"
"uhu","44.8"
"uhu","57.6"
"uhu","57.6"
"uhu","35.6"
"uhu","48.2"
"uhu","49.1"
"uhu","32.7"
"uhu","63.8"
"uhu","32.9"
"uhu","43.8"
"uhu","38"
"uhu","52.2"
"uhu","42.6"
"uhu","43.9"
"uhu","32.1"
"uhu","56.8"
"uhu","40.9"
"uhu","52.2"
"uhu","57.4"
"uhu","51.8"
"uhu","45.2"
"uhu","50.5"
"uhu","59"
"uhu","46.3"
"uhu","34"
"uhu","43.7"
"uhu","58.3"
"uhu","52"
"uhu","49.3"
"uhu","50.8"
"uhu","69.3"
"uhu","45.1"
"uhu","36.4"
"uhu","42.4"
"uhu","45.2"
"uhu","56.7"
"uhu","39.5"
"uhu","55.5"
"uhu","66.9"
"uhu","54.1"
"uhu","46.2"
"uhu","44.6"
"uhu","39.4"
"uhu","55.3"
"uhu","59.2"
"uhu","47.4"
"uhu","44.2"
"uhu","48.3"
"uhu","43.8"
"uhu","46.8"
"uhu","54.3"
"uhu","71.1"
"uhu","43.1"
"uhu","47"
"uhu","50.3"
"uhu","56"
"uhu","31.9"
"uhu","60.2"
"uhu","43.6"
"uhu","36.6"
"uhu","47.9"
"uhu","51"
"uhu","46.7"
"uhu","33.9"
"uhu","47.5"
"uhu","50.8"
"uhu","73.9"
"uhu","65.5"
"uhu","34.4"
"uhu","55.9"
"uhu","41.3"
"uhu","41.9"
"uhu","47"
"uhu","63.5"
"uhu","67.3"
"uhu","38.3"
"uhu","50"
"uhu","46.9"
"uhu","57.4"
"uhu","43.9"
"uhu","29.4"
"uhu","54.3"
"uhu","62.8"
"uhu","42.7"
"uhu","58"
"uhu","46.9"
"uhu","59.6"
"uhu","47.7"
"uhu","62.8"
"uhu","60.4"
"uhu","54.9"
"uhu","46.3"
"uhu","44.2"
"uhu","65.8"
"uhu","48.8"
"uhu","40.7"
"uhu","44.4"
"uhu","42.1"
"uhu","34.9"
"uhu","47.5"
"uhu","50"
"uhu","44.6"
"uhu","36.5"
"uhu","60.2"
"uhu","44.5"
"uhu","50.9"
"uhu","53.2"
"uhu","54.8"
"uhu","45"
"uhu","28.6"
"uhu","54.1"
"uhu","52.5"
"uhu","38.4"
"uhu","44.6"
"uhu","58.4"
"uhu","59.4"
"uhu","52.3"
"uhu","34.6"
"uhu","53.6"
"uhu","62.2"
"uhu","43.3"
"uhu","48.6"
"uhu","39.4"
"uhu","49"
"uhu","51"
"uhu","66.8"
"uhu","48"
"uhu","52.3"
"uhu","37"
"uhu","38.9"
"uhu","31.7"
"uhu","63.4"
"uhu","57.6"
"uhu","63.1"
"uhu","44.9"
"uhu","29.7"
"uhu","78.3"
"uhu","53.3"
"uhu","59.9"
"uhu","59.3"
"uhu","55.9"
"uhu","36.1"
"uhu","31.6"
"uhu","51.8"
"uhu","55.2"
"uhu","68.5"
"uhu","45.7"
"uhu","44.8"
"uhu","50.4"
"uhu","46.3"
"uhu","50.8"
"uhu","66.1"
"uhu","66.9"
"uhu","51.2"
"uhu","50.3"
"uhu","49.9"
"uhu","55.7"
"uhu","64.8"
"uhu","47.1"
"uhu","40.8"
"uhu","47.8"
"uhu","59.4"
