"site","temp_C","spp_richness"
"abrolhos_1",25.9122392977185,59
"aceh_1",28.9117573067497,268
"aceh_2",28.936658724506,141
"aceh_4",28.9575021050193,135
"aceh_5",28.9640574011327,135
"ailuk_atoll_1",27.914388751148,132
"ailuk_atoll_2",27.9188602756697,126
"ailuk_atoll_3",27.9030442963816,143
"ambon_1",28.4905524891021,221
"arraial_1",23.4557881036698,135
"austral_islands_1",25.4867491586315,106
"bali_1",28.8370092126652,295
"belize_2",28.0293668358376,117
"belize_3",28.004536609399,65
"bocas_del_toro_1",28.0011576498978,43
"bocas_del_toro_2",28.0246187755338,40
"bocas_del_toro_3",28.0173542611831,71
"bonaire_1",27.3918449573162,71
"bonaire_2",27.4259413450728,64
"bonaire_3",27.4495722247371,81
"cambodia_1",29.0445448127529,72
"capricorn_group_1",24.184774919512,102
"capricorn_group_2",24.5154977978125,211
"capricorn_group_4",24.2829156616562,190
"capricorn_group_6",24.4373871849244,169
"capricorn_group_7",24.225642939648,84
"capricorn_group_8",24.5546325253239,163
"central_coral_sea_1",26.1137589933055,177
"central_coral_sea_10",26.6463411421008,116
"central_coral_sea_12",26.5582934966615,154
"central_coral_sea_13",26.5311576758653,98
"central_coral_sea_14",26.4813521083318,145
"central_coral_sea_15",26.4639725711233,136
"central_coral_sea_16",26.4322228416033,137
"central_coral_sea_17",26.5141642592431,162
"central_coral_sea_18",26.52524038108,150
"central_coral_sea_19",26.8181976373721,188
"central_coral_sea_2",26.1104484737768,200
"central_coral_sea_20",26.9018394954886,138
"central_coral_sea_21",26.7632934809515,190
"central_coral_sea_22",26.954440822476,267
"central_coral_sea_23",26.1798981001186,80
"central_coral_sea_3",26.1433783820529,161
"central_coral_sea_4",26.7173186549743,206
"central_coral_sea_5",26.690106195009,205
"central_coral_sea_6",26.6907332531071,127
"central_coral_sea_7",26.7387863699212,204
"central_coral_sea_8",26.6732496766114,187
"central_coral_sea_9",26.6525897744713,122
"central_gbr_1",26.4693531744582,135
"central_gbr_10",26.2953827634437,97
"central_gbr_11",26.4017190061028,114
"central_gbr_12",25.6929183721804,50
"central_gbr_13",25.5430607722597,179
"central_gbr_16",26.2966971193713,171
"central_gbr_18",26.3826034620061,135
"central_gbr_19",26.4582989698955,163
"central_gbr_2",26.5672118974542,174
"central_gbr_20",26.2346407090194,130
"central_gbr_21",25.6795831974861,180
"central_gbr_24",26.4648843850912,156
"central_gbr_25",26.4698898867997,41
"central_gbr_26",26.5116971110984,105
"central_gbr_27",26.5471434305949,122
"central_gbr_3",26.5146516620264,156
"central_gbr_5",26.582288566581,300
"central_gbr_6",26.4428854834733,105
"central_gbr_7",26.6129293138853,124
"central_gbr_9",26.2810947150808,67
"christmas_island_1",27.7325076001889,219
"christmas_island_2",27.734670771696,153
"clipperton_1",27.8713137589044,52
"cocos_1",27.6342135123329,126
"coiba_1",28.4539232499498,88
"coiba_10",28.1277293777675,85
"coiba_11",28.1277293777675,55
"coiba_12",28.1114506590928,54
"coiba_13",28.356768258169,40
"coiba_14",28.2836275262613,41
"coiba_16",28.1685590686568,33
"coiba_2",28.376461597288,90
"coiba_3",28.3056237073483,63
"coiba_4",28.3445311433514,98
"coiba_5",28.4684769305577,55
"coiba_6",28.4762014538409,52
"coiba_7",28.2984960901776,111
"coiba_8",28.3100486606,65
"coiba_9",28.232929274652,45
"cook_islands_1",26.8530771437245,107
"cook_islands_2",25.7633482608189,66
"cook_islands_3",27.1216971051654,104
"cook_islands_sp_1",28.3971543646329,138
"costa_rica_3",28.4911877578869,101
"costa_rica_4",28.3803745010727,59
"costa_rica_5",28.3803745010727,41
"costa_rica_6",28.3916149379651,52
"costa_rica_7",28.5041313542202,54
"cuba_1",28.0179758139795,48
"curacao_1",27.3627239124929,73
"curacao_2",27.4073871281426,73
"curacao_3",27.3782222832411,83
"curacao_4",27.4762042004856,68
"cverde_1",24.1393176383805,67
"dampier_archipelago_1",26.419777626798,140
"dampier_archipelago_2",26.4468395101541,108
"dampier_archipelago_3",26.3958427971321,137
"darwin_(nt)_1",28.7434111759148,47
"eilat_1",24.0370805422813,105
"elizabeth_and_middleton_reefs_1",22.0942054139562,194
"elizabeth_and_middleton_reefs_2",22.0043040141871,201
"fiji_1",27.0061576781633,252
"fiji_2",27.5986521847277,277
"fiji_3",26.9602211856111,233
"flores_1",28.880054120819,248
"flores_2",28.8258427267921,169
"flores_3",28.7365300271493,161
"florida_keys_1",26.7252513074927,91
"florida_keys_2",26.6664588814367,79
"florida_keys_3",26.7536083787582,72
"florida_keys_4",26.342655478537,69
"french_polynesia_1",27.4068422077258,73
"french_polynesia_11",25.3538603328274,167
"french_polynesia_12",25.3493805903072,73
"french_polynesia_13",27.2093531638874,125
"french_polynesia_14",27.5763301473327,122
"french_polynesia_15",27.6285207608443,141
"french_polynesia_16",27.578739806569,165
"french_polynesia_19",27.6430004820766,138
"french_polynesia_2",27.3561412214841,73
"french_polynesia_20",27.7307770594318,181
"french_polynesia_21",27.7706401376839,122
"french_polynesia_3",27.5782578714837,57
"french_polynesia_4",27.7423570022917,114
"french_polynesia_5",27.214057422546,91
"french_polynesia_6",27.5114177748773,84
"french_polynesia_7",27.7604895202119,15
"french_polynesia_8",27.3961494425954,59
"french_polynesia_9",27.5874829464648,36
"galapagos_1",23.0602513968226,51
"galapagos_10",25.4890410605031,54
"galapagos_11",25.8387289052464,57
"galapagos_12",24.6694545416816,56
"galapagos_13",24.6710536602685,59
"galapagos_2",23.4437727499896,52
"galapagos_3",23.381226188643,57
"galapagos_4",23.0144463645668,35
"galapagos_5",23.7799200463269,45
"galapagos_6",24.2960153336332,50
"galapagos_7",23.755582715961,75
"galapagos_8",23.7361303535244,47
"galapagos_9",23.9004321218451,73
"grand_cayman_1",28.0317655194628,54
"guarapari_1",24.4118751445449,83
"guarapari_2",24.9035646092853,47
"hawaii_1",24.6290301232061,78
"hawaii_10",24.7409742424287,81
"hawaii_11",24.7334495953897,117
"hawaii_12",24.9570667986541,67
"hawaii_2",25.2958537704451,84
"hawaii_3",24.9571188350105,112
"hawaii_4",25.2708647332082,120
"hawaii_5",25.0600432493078,106
"hawaii_6",25.025771615278,115
"hawaii_7",24.6925870596644,124
"hawaii_8",24.813131973229,111
"hawaii_9",24.8989972425839,110
"hong_kong_island_1",24.7949036058173,60
"ilha_gde_1",23.8363850187237,42
"ilha_gde_2",24.0716834804706,35
"ilha_gde_3",24.2004731743385,41
"ilha_gde_4",23.8601144945243,31
"ilha_gde_5",24.0643395531478,48
"kai_ketjil_1",28.2861247725972,117
"kai_ketjil_2",28.2781099902317,142
"kimberley_1",28.2984111886165,64
"l_santos_1",23.6473598078073,77
"las_perlas_1",27.4607606033375,70
"las_perlas_2",27.4394161662032,54
"las_perlas_3",27.3998077283945,77
"las_perlas_4",27.3665656500291,89
"las_perlas_7",27.4589287427796,73
"las_perlas_8",27.4490410312765,40
"lord_howe_island_1",21.380519798003,337
"lord_howe_island_2",21.30228868215,119
"machalilla_1",24.4538548705612,41
"machalilla_2",24.7043477300746,53
"machalilla_4",24.5717190500157,47
"malpelo_1",26.6836029112274,90
"marquesas_islands_1",27.7175459104456,75
"marquesas_islands_2",27.7812425440008,79
"mexico_caribbean_12",28.0128498631004,45
"mexico_caribbean_13",27.7933263172847,102
"minerva_reefs_1",24.5109194790024,156
"minerva_reefs_2",24.3496380061205,104
"mornington_island_3",27.5679128611336,55
"mornington_island_4",27.6093969762913,73
"mornington_island_5",27.7203526058176,87
"mozambique_1",25.9789232904783,93
"mozambique_11",26.3048816724779,117
"mozambique_13",26.2945393983271,65
"mozambique_14",26.2979074266106,89
"mozambique_2",26.0184167264456,86
"mozambique_4",25.5819764079818,53
"mozambique_9",26.2304429976598,97
"neb_1",25.9184714878245,49
"neb_2",25.9510262432913,37
"neb_3",25.9752595505605,28
"new_caledonia_1",26.0578663362208,199
"new_caledonia_10",24.6059989020441,110
"new_caledonia_11",24.9857770809077,243
"new_caledonia_12",25.012233831274,143
"new_caledonia_2",26.1847146322537,235
"new_caledonia_3",24.7604430137041,385
"new_caledonia_4",24.8447831212364,140
"new_caledonia_5",25.9293778399648,217
"new_caledonia_6",25.8688329595334,119
"new_caledonia_7",25.9223926226646,199
"new_caledonia_8",25.8077622812653,252
"new_caledonia_9",25.6693285605732,231
"nicaragua_tep_1",27.5308044220506,58
"nicaragua_tep_2",27.4088931433604,68
"nicaragua_tep_3",27.3908482193294,50
"nicaragua_tep_4",27.3908482193294,70
"nicaragua_tep_5",27.396494460132,30
"ningaloo_marine_park_1",25.5990218849851,89
"ningaloo_marine_park_2",25.6301746634769,211
"ningaloo_marine_park_3",24.7910235353785,262
"ningaloo_marine_park_4",24.7006620974295,279
"ningaloo_marine_park_5",24.7006620974295,151
"ningaloo_marine_park_6",25.7062014896272,126
"ningaloo_marine_park_7",24.8865629725754,174
"ningaloo_marine_park_8",24.9816314388079,182
"niue_1",26.6477540492489,115
"norfolk_island_1",21.3390712659696,79
"norfolk_island_2",21.392417365071,46
"noronha_1",27.3369216161646,63
"north_west_shelf_1",28.6755661792066,73
"north_west_shelf_10",27.9406565470868,160
"north_west_shelf_11",27.9587698985556,252
"north_west_shelf_12",27.869358626279,166
"north_west_shelf_13",27.869358626279,236
"north_west_shelf_14",27.0441368459219,80
"north_west_shelf_15",26.815155485243,30
"north_west_shelf_18",26.7109550379976,59
"north_west_shelf_19",26.5458701615266,83
"north_west_shelf_20",26.5345941655346,94
"north_west_shelf_22",26.4648296433498,110
"north_west_shelf_24",26.236434271145,146
"north_west_shelf_25",26.2812288833735,183
"north_west_shelf_26",26.2108099301308,115
"north_west_shelf_27",26.1747009615778,132
"north_west_shelf_28",26.1070366553383,158
"north_west_shelf_29",26.0351500156022,107
"north_west_shelf_3",28.6002211466285,240
"north_west_shelf_31",25.9490273523696,53
"north_west_shelf_32",25.7422885664974,207
"north_west_shelf_33",25.5278553983599,46
"north_west_shelf_4",28.6188438291226,226
"north_west_shelf_6",28.6722666290216,235
"north_west_shelf_7",28.6638794269123,237
"north_west_shelf_8",27.7386467203514,229
"north_west_shelf_9",27.756760065553,118
"northern_coral_sea_1",27.0598323650715,322
"northern_coral_sea_10",27.1468449662575,224
"northern_coral_sea_2",27.0536686259058,238
"northern_coral_sea_3",27.148550870254,268
"northern_coral_sea_4",27.1528252327951,214
"northern_coral_sea_5",27.2310782680115,257
"northern_coral_sea_6",27.188359195797,316
"northern_coral_sea_7",27.1761932822203,181
"northern_coral_sea_8",27.1951500108182,161
"northern_coral_sea_9",27.2469928251561,283
"northern_gbr_1",26.6639643603322,335
"northern_gbr_10",27.1627732184996,267
"northern_gbr_12",26.8110399392453,111
"northern_gbr_13",26.8358181282829,187
"northern_gbr_2",26.9404210694387,80
"northern_gbr_4",26.9820530631325,145
"northern_gbr_6",26.7112590041897,247
"northern_gbr_7",26.7450432208125,184
"northern_gbr_8",26.8720777053039,158
"northern_territory_(other)_1",27.9895393563779,86
"northern_territory_(other)_11",27.9871406722304,74
"northern_territory_(other)_12",27.9877868894679,89
"northern_territory_(other)_13",28.0012918176682,79
"northern_territory_(other)_14",28.0393312408263,72
"northern_territory_(other)_16",27.8860535877558,92
"northern_territory_(other)_2",27.988164764375,72
"northern_territory_(other)_3",28.2703169867609,110
"northern_territory_(other)_5",28.1909413280257,147
"northern_territory_(other)_6",28.2187096688729,60
"northern_territory_(other)_8",28.2364862296824,47
"offshore_shoals_3",28.6566751528152,81
"offshore_shoals_4",28.6158454775941,42
"offshore_shoals_5",28.5539697906143,98
"okinawa_2",25.0936631675879,169
"palau_1",29.2358865361877,245
"panama_pacific_1",27.4225213008016,54
"papua_new_guinea_2",29.7347884883233,185
"pitcairn_1",24.549364181364,100
"pitcairn_2",24.6434769881124,107
"pitcairn_3",24.8638794931368,144
"pitcairn_4",25.0258455527181,131
"pualu_kaimeer_1",28.3081291659377,143
"pulau_jamdena_2",28.3583454960408,185
