"region","site","polynesia_isolation","lon","lat","richness"
"sw_pacific","lord_howe_island_2",NA,159.252833,-31.76343225,119
"sw_pacific","lord_howe_island_1",NA,159.05999898,-31.53214129,337
"sw_pacific","elizabeth_and_middleton_reefs_2",NA,159.0674775,-29.93267312,201
"sw_pacific","elizabeth_and_middleton_reefs_1",NA,159.08670706,-29.44399471,194
"sw_pacific","norfolk_island_1",NA,167.95674089,-29.07417311,79
"sw_pacific","norfolk_island_2",NA,167.9237975,-29.001845,46
"sw_atlantic","santa_catarina_4",NA,-48.431996,-27.845503,46
"sw_atlantic","santa_catarina_2",NA,-48.467878,-27.694236,58
"sw_atlantic","santa_catarina_6",NA,-48.387576,-27.603507,68
"sw_atlantic","santa_catarina_1",NA,-48.35749425,-27.28101187,103
"sw_atlantic","santa_catarina_3",NA,-48.399104,-27.17457,59
"easter","rapa_nui_4","distant_polynesia",-109.35113,-27.160795,24
"easter","rapa_nui_3","distant_polynesia",-109.440659,-27.15872,42
"sw_atlantic","santa_catarina_5",NA,-48.51963,-27.11935333,42
"easter","rapa_nui_1","distant_polynesia",-109.417334,-27.0999854,37
"easter","rapa_nui_2","distant_polynesia",-109.28278,-27.07544,29
"easter","salaz_y_gomez_1","distant_polynesia",-105.36196727,-26.47055191,45
"polynesian","pitcairn_1","core_polynesia",-130.114,-25.059,100
"polynesian","pitcairn_2","core_polynesia",-124.79174,-24.67428,107
"western_indian","mozambique_4",NA,35.28907667,-24.46786667,53
"polynesian","pitcairn_3","core_polynesia",-128.3375825,-24.3440325,144
"sw_atlantic","l_santos_1",NA,-46.176212,-24.316838,77
"polynesian","pitcairn_4","core_polynesia",-130.727,-23.943,131
"central_pacific","minerva_reefs_2",NA,-179.12591333,-23.93972,104
"western_indian","mozambique_1",NA,35.571615,-23.9290035,93
"sw_pacific","capricorn_group_2",NA,152.38472667,-23.88058222,211
"western_indian","mozambique_2",NA,35.55938,-23.74379333,86
"central_pacific","minerva_reefs_1",NA,-178.92647333,-23.63182333,156
"sw_pacific","capricorn_group_4",NA,151.758747,-23.51907114,190
"central_iwp","ningaloo_marine_park_5",NA,113.78072333,-23.32445,151
"sw_pacific","capricorn_group_6",NA,151.727008,-23.278058,169
"sw_pacific","southern_coral_sea_2",NA,155.55343222,-23.24647222,183
"sw_pacific","capricorn_group_8",NA,151.92855817,-23.21481367,163
"sw_pacific","capricorn_group_1",NA,150.9468575,-23.1918645,102
"central_iwp","ningaloo_marine_park_4",NA,113.76023707,-23.18749393,279
"sw_atlantic","ilha_gde_1",NA,-44.1453125,-23.18585,42
"sw_pacific","southern_gbr_1",NA,150.94383933,-23.17752444,152
"sw_atlantic","ilha_gde_5",NA,-44.33814444,-23.16577778,48
"sw_pacific","capricorn_group_7",NA,151.071683,-23.157033,84
"polynesian","french_polynesia_12","core_polynesia",-135.0374475,-23.1525075,73
"polynesian","french_polynesia_11","core_polynesia",-134.87420575,-23.12930992,167
"central_iwp","ningaloo_marine_park_3",NA,113.75722444,-23.12193444,262
"sw_atlantic","ilha_gde_4",NA,-44.15945556,-23.08998333,31
"sw_atlantic","ilha_gde_2",NA,-44.25976333,-23.07874333,35
"sw_atlantic","ilha_gde_3",NA,-44.398,-23.05218,41
"central_iwp","ningaloo_marine_park_7",NA,113.818645,-23.04637,174
"sw_atlantic","rio_de_janeiro_1",NA,-43.206103,-23.031915,34
"sw_atlantic","arraial_1",NA,-41.9979316,-22.98359724,135
"central_iwp","ningaloo_marine_park_8",NA,113.7719,-22.8989,182
"western_indian","mozambique_9",NA,35.58871,-22.786561,97
"sw_pacific","queensland_(other)_1",NA,152.54,-22.379405,110
"sw_pacific","new_caledonia_3",NA,166.42812315,-22.31855872,385
"sw_pacific","new_caledonia_10",NA,166.8508333,-22.31777778,110
"western_indian","mozambique_11",NA,35.552,-22.2756455,117
"sw_pacific","southern_coral_sea_4",NA,155.33901667,-22.19043833,170
"sw_pacific","southern_coral_sea_5",NA,155.17216,-22.1816,109
"sw_pacific","southern_coral_sea_3",NA,155.46466143,-22.16994857,163
"sw_pacific","new_caledonia_4",NA,166.2516667,-22.16888889,140
"central_iwp","north_west_shelf_33",NA,114.13770333,-21.99410333,46
"sw_pacific","new_caledonia_11",NA,165.9821756,-21.992855,243
"sw_pacific","new_caledonia_12",NA,165.8847222,-21.96722222,143
"central_iwp","ningaloo_marine_park_1",NA,113.93913333,-21.93303,89
"sw_pacific","southern_coral_sea_6",NA,153.5602875,-21.89588833,175
"central_iwp","ningaloo_marine_park_2",NA,114.16972429,-21.84962429,211
"polynesian","austral_islands_1","core_polynesia",-154.71798383,-21.80199167,106
"western_indian","mozambique_13",NA,35.5036,-21.767115,65
"central_iwp","ningaloo_marine_park_6",NA,114.345175,-21.65423,126
"central_iwp","north_west_shelf_32",NA,114.37339667,-21.65259667,207
"sw_pacific","new_caledonia_9",NA,166.6661111,-21.62638889,231
"western_indian","mozambique_14",NA,35.500365,-21.619974,89
"sw_pacific","new_caledonia_8",NA,166.0997222,-21.52694444,252
"central_iwp","north_west_shelf_31",NA,115.172725,-21.320955,53
"sw_pacific","southern_coral_sea_7",NA,155.762995,-21.232062,171
"polynesian","cook_islands_2","core_polynesia",-159.780695,-21.19839,66
"central_pacific","tonga_10",NA,-175.00360703,-21.11260778,292
"sw_pacific","new_caledonia_7",NA,165.9494444,-21.05722222,199
"sw_pacific","southern_coral_sea_8",NA,154.37966446,-20.99154177,227
"central_iwp","north_west_shelf_29",NA,115.46453333,-20.9485,107
"sw_pacific","new_caledonia_6",NA,167.1718361,-20.82964444,119
"central_iwp","north_west_shelf_28",NA,115.51966,-20.771916,158
"sw_atlantic","guarapari_1",NA,-40.393183,-20.6559895,83
"central_iwp","dampier_archipelago_3",NA,116.4882825,-20.615455,137
"central_iwp","north_west_shelf_27",NA,115.57655,-20.5791475,132
"central_iwp","dampier_archipelago_1",NA,116.5533175,-20.57124375,140
"central_iwp","dampier_archipelago_2",NA,116.6368625,-20.5495125,108
