"Section","length_cm"
3,33.5
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
4,39.1
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
1,21.3
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
5,33.2
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
1,32.3
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
4,37.2
4,36
4,24.2
4,35.1
4,37.9
4,22.1
4,NA
4,NA
4,NA
4,NA
4,36.3
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
2,34.5
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,22.4
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
1,22.1
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
5,23
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,33.8
5,26.5
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,26.4
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
3,25.1
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,39.5
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,20.8
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,31.5
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
2,22.9
2,38.1
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
3,29.3
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
1,39.2
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
4,27.7
4,31.1
4,29
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
5,25.8
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
1,24.8
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,22.3
1,28.5
1,28.3
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,33.6
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,24.4
1,20.5
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
5,20
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
4,39
4,31
4,23.1
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
2,29
2,27.7
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,26.1
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
5,35.8
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
3,29
3,37.8
3,21.5
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
5,35.2
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
4,28.5
4,28.3
4,22.3
4,32.3
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
3,22.7
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
2,32.3
2,28.3
2,22.5
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
1,36.5
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
4,22.6
4,26.4
4,35.6
4,35.8
4,37.5
4,NA
4,NA
4,NA
4,NA
4,NA
3,26.4
3,33.5
3,24.8
3,39.5
3,32.5
3,NA
3,NA
3,NA
3,NA
3,NA
2,36.3
2,37.8
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
3,28.7
3,37.2
3,37.9
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
2,31
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
4,22.8
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,37.8
4,35.9
4,22.1
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
1,37.8
1,29
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
4,26.4
4,34
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
1,32.8
1,33.1
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
2,26.3
2,38.1
2,25.9
2,32.6
2,34.2
2,29.1
2,24.2
2,23.3
2,25.1
2,29.1
5,39.5
5,37.6
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
3,28.4
3,23
3,29.6
3,28
3,40
3,23.7
3,28.2
3,NA
3,NA
3,NA
4,29.6
4,28.4
4,23
4,40
4,28
4,28.2
4,23.7
4,NA
4,NA
4,NA
5,39.1
5,32.9
5,25.8
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
5,24.5
5,33.2
5,30.3
5,32.8
5,33.2
5,NA
5,NA
5,NA
5,NA
5,NA
2,20.7
2,27.8
2,39.4
2,21.2
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
1,22.7
1,32.9
1,39.2
1,21
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
4,20.9
4,27.5
4,39.2
4,27.4
4,21
4,NA
4,NA
4,NA
4,NA
4,NA
2,27.4
2,21.5
2,32.5
2,32
2,28.1
2,NA
2,NA
2,NA
2,NA
2,NA
1,30.9
1,27.7
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
3,27.5
3,20.9
3,39.2
3,27.4
3,21
3,35.5
3,NA
3,NA
3,NA
3,NA
5,35.9
5,37.8
5,24.8
5,33.5
5,NA
5,NA
5,NA
5,NA
5,NA
5,NA
1,26.5
1,32.9
1,37.5
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,30.5
1,37.9
1,26.6
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
5,31.8
5,32.5
5,27.4
5,28.2
5,38.4
5,32
5,NA
5,NA
5,NA
5,NA
3,23.1
3,39
3,22.8
3,31
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
1,29.4
1,32.7
1,26.5
1,28.2
1,29.6
1,39.2
1,20.9
1,21
1,NA
1,NA
4,29.8
4,24.5
4,32.8
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,31
4,39
4,23
4,23
4,38.3
4,21.3
4,22.8
4,39
4,37
4,20
3,34.5
3,29
3,25.4
3,27
3,22.6
3,NA
3,NA
3,NA
3,NA
3,NA
2,38.8
2,37.5
2,27.4
2,35.8
2,NA
2,NA
2,NA
2,NA
2,NA
2,NA
3,32.6
3,26.4
3,39.1
3,25.8
3,39.2
3,NA
3,NA
3,NA
3,NA
3,NA
1,37.7
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,38.1
1,26.3
1,22.5
1,32.6
1,34.2
1,29.1
1,20.5
1,29.6
1,20.9
1,39.1
4,32.5
4,39.2
4,31.8
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,35.8
4,26.4
4,23.8
4,22.8
4,20.3
4,29.4
4,NA
4,NA
4,NA
4,NA
4,33.1
4,26.5
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
3,38.7
3,22.5
3,40
3,29.6
3,NA
3,NA
3,NA
3,NA
3,NA
3,NA
1,28.25
1,27.4
1,20.9
1,39.2
1,37.5
1,21
1,7.8
1,NA
1,NA
1,NA
2,39.1
2,32.4
2,32
2,38.4
2,32
2,31.3
2,36.7
2,29.5
2,28.2
2,24.1
3,25.9
3,26.3
3,32.6
3,34.2
3,29.1
3,39.2
3,21
3,20.9
3,39.6
3,28.5
3,22.7
3,NA
3,NA
3,NA
3,NA
