name,female,male,total,p_female,simulation
Ahia,26,17,43,0.6046511627906976,1
Alapaʻi,32,20,52,0.6153846153846154,1
Haʻaheo,18,19,37,0.4864864864864865,1
Hana,54,41,95,0.5684210526315789,1
Haole,30,16,46,0.6521739130434783,1
Hina,30,15,45,0.6666666666666666,1
ʻEhu,30,17,47,0.6382978723404256,1
Kahananui,58,37,95,0.6105263157894737,1
Kaheana,50,31,81,0.6172839506172839,1
Kahele,85,48,133,0.6390977443609023,1
Kahili/Kāhili,23,19,42,0.5476190476190477,1
Kahinu,30,23,53,0.5660377358490566,1
Kahue,82,65,147,0.5578231292517006,1
Kahuhu,25,15,40,0.625,1
Kaʻaeʻa,28,14,42,0.6666666666666666,1
Kaʻahanui,32,23,55,0.5818181818181818,1
Kaʻai,32,30,62,0.5161290322580645,1
Kaʻaihue,33,28,61,0.5409836065573771,1
Kaʻākau,40,29,69,0.5797101449275363,1
Kaʻanāʻanā,82,59,141,0.5815602836879432,1
Kaʻaua/Kaʻauʻa,58,40,98,0.5918367346938775,1
Kaʻaukai,48,22,70,0.6857142857142857,1
Kaʻawa,29,24,53,0.5471698113207547,1
Kaʻili,60,34,94,0.6382978723404256,1
Kaʻilianu,30,21,51,0.5882352941176471,1
Kaiʻa,47,30,77,0.6103896103896104,1
Kaina,29,18,47,0.6170212765957447,1
Kaipo,18,24,42,0.42857142857142855,1
Kaiwi,46,51,97,0.4742268041237113,1
Kalā/Kala,21,28,49,0.42857142857142855,1
Kalama,72,56,128,0.5625,1
Kalawaiʻa,64,35,99,0.6464646464646465,1
Kalehua,25,17,42,0.5952380952380952,1
Kalei,21,19,40,0.525,1
Kaleo,24,19,43,0.5581395348837209,1
Kalili,45,31,76,0.5921052631578947,1
Kalua,177,150,327,0.5412844036697247,1
Ahia,24,19,43,0.5581395348837209,2
Alapaʻi,31,21,52,0.5961538461538461,2
Haʻaheo,22,15,37,0.5945945945945946,2
Hana,49,46,95,0.5157894736842106,2
Haole,27,19,46,0.5869565217391305,2
Hina,29,16,45,0.6444444444444445,2
ʻEhu,27,20,47,0.574468085106383,2
Kahananui,56,39,95,0.5894736842105263,2
Kaheana,48,33,81,0.5925925925925926,2
Kahele,76,57,133,0.5714285714285714,2
