genus_species,family,group,growth_form,leafsize_cm2,latitude,longitude,elevation_m,MAT,MAP,PPTgs,RADann
Acer pensylvanicum,Sapindaceae,angio,Tree,69.49,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Acer rubrum,Sapindaceae,angio,Tree,62.65,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Acer saccharum,Sapindaceae,angio,Tree,37.05,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Betula alleghaniensis,Betulaceae,angio,Tree,39.54,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Betula papyrifera,Betulaceae,angio,Tree,28.09,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Fagus grandifolia,Fagaceae,angio,Tree,54.56,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Fraxinus americana,Oleaceae,angio,Tree,18.26,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Hamamelis virginiana,Hamamelidaceae,angio,Shrub,61.74,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Ilex verticillata,Aquifoliaceae,angio,Shrub,6.93,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Populus grandidentata,Salicaceae,angio,Tree,25.74,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Populus tremuloides,Salicaceae,angio,Tree,14.73,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Prunus pensylvanica,Rosaceae,angio,Shrub,16.92,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Quercus rubra,Fagaceae,angio,Tree,55.42,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Tilia americana,Malvaceae,angio,Tree,98.98,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Vaccinium fuscatum,Ericaceae,angio,Shrub,11.37,43.900,-71.750,618,5.60,1310.00,555.00,164.97
Acer pensylvanicum,Sapindaceae,angio,Tree,135.5,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Acer rubrum,Sapindaceae,angio,Tree,49.3,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Acer saccharum,Sapindaceae,angio,Tree,47.8,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Acer spicatum,Sapindaceae,angio,Tree,55.1,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Amelanchier laevis,Rosaceae,angio,Tree,24.4,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Betula lenta,Betulaceae,angio,Tree,49,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Carpinus caroliniana,Betulaceae,angio,Tree,26.3,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Carya ovata,Juglandaceae,angio,Tree,12.2,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Clematis virginiana,Ranunculaceae,angio,Liana,47.8,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Comptonia peregrina,Myricaceae,angio,Shrub,5.5,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Cornus amomum,Cornaceae,angio,Shrub,11.5,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Crataegus sp55,Rosaceae,angio,Tree,20.8,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Dirca palustris,Thymelaeaceae,angio,Shrub,35.8,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Fagus grandifolia,Fagaceae,angio,Tree,47.5,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Fraxinus americana,Oleaceae,angio,Tree,23.4,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Hamamelis virginiana,Hamamelidaceae,angio,Shrub,26.4,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Kalmia latifolia,Ericaceae,angio,Tree,16.9,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Liriodendron tulipifera,Magnoliaceae,angio,Tree,79.1,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Magnolia acuminata,Magnoliaceae,angio,Tree,264.3,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Ostrya virginiana,Betulaceae,angio,Tree,13.5,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Populus grandidentata,Salicaceae,angio,Tree,47,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Populus tremuloides,Salicaceae,angio,Tree,20.9,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Prunus serotina,Rosaceae,angio,Tree,12.9,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Prunus virginiana,Rosaceae,angio,Shrub,9.3,41.630,-71.751,590,7.00,1140.00,749.00,185.70
